Area,Crime_Type,Number_of_Crimes,Latitude,Longitude
Rajajinagar,Molestation,3,12.995633959901632,77.55612265066557
Indiranagar,Chain Snatching,9,12.97439993007703,77.64046392897785
Malleshwaram,Pickpocket,8,12.999347184160627,77.56984424158601
Indiranagar,Burglary,3,12.967603543417162,77.63902157114555
Electronic City,Burglary,10,12.84702809033053,77.66371661056266
MG Road,Theft,9,12.979283477148183,77.60054510486354
Malleshwaram,Theft,1,13.001835518417344,77.56640202154752
KR Puram,Chain Snatching,7,13.005356457822316,77.69683797501993
Rajajinagar,Theft,1,12.98736907184392,77.55364261922033
Indiranagar,Chain Snatching,8,12.970664283142401,77.64314402937777
MG Road,Kidnapping,1,12.976839858917925,77.60776295646485
KR Puram,Cyber Crime,10,13.007213312721257,77.69983272551387
Frazer Town,Assault,4,12.994411389188604,77.62277891902768
Yeshwanthpur,Cyber Crime,3,13.020720150844042,77.55293734597325
Koramangala,Theft,3,12.935202446124153,77.62586641155517
Jayanagar,Murder,5,12.920936273529264,77.59231238148058
Hebbal,Chain Snatching,9,13.040355961704943,77.59244741284826
Marathahalli,Chain Snatching,10,12.957449068861136,77.70121812690635
Jayanagar,Chain Snatching,2,12.929897504479129,77.58884336084284
Hebbal,Pickpocket,9,13.031942552905555,77.5956386968812
Marathahalli,Kidnapping,3,12.956550093888017,77.69945945200945
Banashankari,Theft,5,12.912709216658536,77.57107299292372
Hebbal,Pickpocket,1,13.035473458459316,77.58808279194396
BTM Layout,Kidnapping,4,12.914383806835993,77.6127019369232
Malleshwaram,Eve-Teasing,3,13.003066690423994,77.56574587480996
Bellandur,Molestation,5,12.920118347693833,77.68863373620552
Banashankari,Murder,2,12.911584203378153,77.5782916532512
Indiranagar,Cyber Crime,3,12.969022511383205,77.64139220703869
Rajajinagar,Theft,4,12.996026212703537,77.55021405966758
HSR Layout,Burglary,6,12.914866532834044,77.63813592034401
Indiranagar,Murder,2,12.976439310640888,77.64481912741704
Indiranagar,Assault,8,12.970215230071908,77.63804359392046
Malleshwaram,Eve-Teasing,2,13.0058260279781,77.57396003556406
Frazer Town,Molestation,8,13.002847962967458,77.62231610918761
Whitefield,Kidnapping,10,12.965811964107273,77.75131734208551
Yeshwanthpur,Molestation,1,13.01306716357749,77.55498738443465
Rajajinagar,Pickpocket,3,12.99566330679516,77.55059636414794
Malleshwaram,Molestation,9,13.004019150676756,77.56891728889325
Jayanagar,Kidnapping,3,12.928086249422979,77.5947792248594
Vijayanagar,Chain Snatching,3,12.967307573464016,77.56089148766478
Jayanagar,Cyber Crime,10,12.921169166891284,77.5949422062545
Koramangala,Molestation,10,12.935618646070825,77.62075320774085
Basavanagudi,Theft,2,12.940768037102288,77.5697591940397
Whitefield,Kidnapping,7,12.965969349794094,77.75285418359094
Indiranagar,Assault,8,12.966975885058714,77.64579147782176
Vijayanagar,Cyber Crime,9,12.966972236734621,77.5584505581241
Indiranagar,Murder,10,12.97038109740989,77.6419287075989
Banashankari,Kidnapping,7,12.916084076140413,77.57469546282306
HSR Layout,Molestation,4,12.911243769541542,77.64283931894617
Yeshwanthpur,Theft,2,13.01955228808919,77.55595971653474
Electronic City,Burglary,5,12.845798989841782,77.6615756770681
Electronic City,Assault,4,12.848300303147827,77.65823301237117
Indiranagar,Eve-Teasing,6,12.976278269316042,77.63880082106725
HSR Layout,Pickpocket,8,12.907871789401074,77.64463611858909
BTM Layout,Kidnapping,8,12.911613732032523,77.60834065194742
Marathahalli,Chain Snatching,1,12.960546554180889,77.70180671462975
Indiranagar,Burglary,9,12.975247475047913,77.64609105138702
Electronic City,Cyber Crime,4,12.847256168733368,77.66477256026435
KR Puram,Molestation,8,13.009911937408527,77.69189154060442
Yeshwanthpur,Murder,2,13.018634650618008,77.55380973734279
Jayanagar,Murder,3,12.921259985401647,77.59111297282459
BTM Layout,Burglary,6,12.921416475714807,77.60780080864714
Frazer Town,Assault,7,12.996642363896123,77.62862378549296
Basavanagudi,Molestation,6,12.941561052333133,77.568622451129
Koramangala,Burglary,2,12.932806763849863,77.6254348758156
Frazer Town,Assault,5,13.001164268007383,77.62727666095104
Banashankari,Murder,8,12.917942530591162,77.57708169133885
Koramangala,Cyber Crime,4,12.936445824231033,77.61955568323134
Malleshwaram,Pickpocket,9,13.003395327641549,77.57362171736914
KR Puram,Pickpocket,10,13.014436803981045,77.69612719932492
Frazer Town,Kidnapping,2,12.998576181005722,77.62626683465189
Whitefield,Molestation,4,12.970216237667993,77.74556771388251
HSR Layout,Chain Snatching,9,12.90783144163435,77.63749473494869
Yeshwanthpur,Chain Snatching,4,13.016710285542331,77.55993787591999
Rajajinagar,Murder,10,12.992909431699037,77.55896831595052
KR Puram,Pickpocket,5,13.01169022911168,77.69332901077246
Bellandur,Eve-Teasing,6,12.925534863054251,77.68188324902974
Rajajinagar,Molestation,7,12.986422908356532,77.55272644604743
Basavanagudi,Theft,8,12.944681432309562,77.5699652898111
Yeshwanthpur,Murder,6,13.019099127535519,77.55221798503193
Ulsoor,Murder,10,12.982125449968494,77.62923451174142
KR Puram,Kidnapping,8,13.009498739419941,77.69734134732929
Frazer Town,Eve-Teasing,4,12.9991936661895,77.62755219290025
Banashankari,Pickpocket,1,12.912769072004416,77.57415563962967
Bellandur,Pickpocket,5,12.92189400649977,77.67953662463475
Hebbal,Theft,7,13.035341070662474,77.58774101020919
MG Road,Kidnapping,7,12.97493586051567,77.60523859065106
Yeshwanthpur,Kidnapping,1,13.022442558100376,77.55457161713063
Marathahalli,Pickpocket,7,12.951437648811735,77.70083922083589
Bellandur,Chain Snatching,1,12.927651080164313,77.68415056397933
Koramangala,Burglary,4,12.938821162223338,77.62386949647998
Hebbal,Assault,3,13.03815019215506,77.59506373154704
Jayanagar,Theft,8,12.92232646509762,77.59324979271716
Bellandur,Burglary,9,12.923391218052378,77.68898611060182
Electronic City,Pickpocket,4,12.846324524732566,77.65877783763176
Indiranagar,Cyber Crime,4,12.973856868952124,77.63652480992619
MG Road,Molestation,2,12.978741851196455,77.60170700833604
Frazer Town,Assault,9,12.999183466730557,77.62352141717268
Jayanagar,Cyber Crime,3,12.921567142259489,77.58998782635034
MG Road,Pickpocket,5,12.97241752059391,77.60567462935863
Bellandur,Theft,3,12.923653283419139,77.6879998736654
Bellandur,Pickpocket,4,12.921670349683042,77.68090940624
Koramangala,Molestation,7,12.938861008286938,77.62688190767754
Whitefield,Cyber Crime,6,12.970068738649568,77.74921841247091
KR Puram,Cyber Crime,9,13.005599254403876,77.69970916241562
Banashankari,Burglary,7,12.90904573032091,77.5697733321695
Jayanagar,Kidnapping,7,12.929547810719868,77.59241383816928
Banashankari,Molestation,6,12.91244379072216,77.57143495173113
Hebbal,Assault,4,13.04051945777309,77.58865882779799
Malleshwaram,Pickpocket,3,12.999337172261502,77.56922816681646
KR Puram,Burglary,1,13.005360451679007,77.69535878617069
Electronic City,Pickpocket,7,12.841889576358602,77.66458544176325
Indiranagar,Theft,5,12.97137673486001,77.64088327713907
Banashankari,Assault,10,12.915914542951617,77.57449116097729
HSR Layout,Eve-Teasing,6,12.90791197763482,77.63682487043002
BTM Layout,Theft,8,12.920999279463325,77.61069129060402
Koramangala,Murder,5,12.93282188299848,77.62699236331896
Bellandur,Theft,4,12.927202016877784,77.68098925554321
KR Puram,Assault,10,13.013013862211793,77.69561062494569
Hebbal,Pickpocket,6,13.033072419924887,77.59048766390458
Ulsoor,Murder,7,12.98426941647207,77.62948012355079
Basavanagudi,Kidnapping,1,12.940007473595216,77.57136313134302
KR Puram,Chain Snatching,5,13.008314865352276,77.69307080747197
Vijayanagar,Murder,5,12.968141477751857,77.56092135346226
Ulsoor,Pickpocket,4,12.98542913780049,77.62491364445111
Koramangala,Eve-Teasing,5,12.931470903094928,77.62204381560956
Whitefield,Kidnapping,2,12.974578158497604,77.75056545803689
Yeshwanthpur,Molestation,7,13.015321731594053,77.55415081532284
Rajajinagar,Theft,4,12.990543348794137,77.55989159935321
Ulsoor,Burglary,2,12.985489855453071,77.62957758271567
Koramangala,Pickpocket,1,12.934392967579184,77.62448946355299
Banashankari,Molestation,7,12.915351573286818,77.57207195991421
Indiranagar,Burglary,5,12.96948784715027,77.64468262971748
Marathahalli,Chain Snatching,1,12.955804324927065,77.69924048952326
Jayanagar,Molestation,4,12.92623726519454,77.59774566664746
Vijayanagar,Molestation,10,12.97169262626388,77.5520280793486
Electronic City,Assault,7,12.840226323862181,77.66004842444308
Marathahalli,Cyber Crime,9,12.952597114555727,77.70256034706911
Indiranagar,Pickpocket,4,12.968409676411566,77.63654908005469
Bellandur,Cyber Crime,10,12.921779888794578,77.68581094471111
Koramangala,Murder,6,12.931319027055093,77.62083705346411
Malleshwaram,Assault,9,13.000267613066281,77.5659206954326
Malleshwaram,Kidnapping,5,13.002538681111796,77.56635550546466
Hebbal,Cyber Crime,5,13.038220681244004,77.59557757802209
Marathahalli,Pickpocket,2,12.953415095998004,77.70495668471098
Ulsoor,Pickpocket,7,12.98155499241863,77.63298564201664
Whitefield,Molestation,6,12.965647171584518,77.74511778874108
Frazer Town,Murder,7,12.999947709088813,77.62136485406722
Whitefield,Kidnapping,8,12.96971770332189,77.74799777116226
Bellandur,Assault,2,12.921652664802037,77.68451675377906
BTM Layout,Burglary,7,12.913283440227042,77.61152566391162
Marathahalli,Chain Snatching,6,12.959968499919885,77.70296575156426
Vijayanagar,Molestation,1,12.971215715405377,77.55500537974414
Koramangala,Burglary,7,12.936486495173094,77.61979686640203
Hebbal,Molestation,1,13.035077612667116,77.58752267546096
Koramangala,Assault,9,12.938515390616718,77.62180522845297
Jayanagar,Pickpocket,1,12.924359180146707,77.5973808432208
Electronic City,Theft,1,12.843929997356105,77.66273688594086
Marathahalli,Theft,8,12.95215280220084,77.6990956413596
MG Road,Pickpocket,10,12.977403611812214,77.60000049245208
Marathahalli,Chain Snatching,1,12.958435391487823,77.6976122429784
Jayanagar,Pickpocket,4,12.926410374871878,77.59773624353878
Banashankari,Murder,10,12.918115532554948,77.57164584699218
Rajajinagar,Eve-Teasing,7,12.994889673938179,77.55356539362553
Koramangala,Assault,1,12.931787242916965,77.62823054229183
MG Road,Eve-Teasing,7,12.974973884957365,77.6027288476242
Yeshwanthpur,Molestation,10,13.01702998826339,77.55206752139318
Banashankari,Burglary,2,12.910761153944954,77.57749462081398
Frazer Town,Assault,7,12.999517634853612,77.62685657367258
MG Road,Cyber Crime,2,12.970542954171355,77.60095578264766
KR Puram,Pickpocket,10,13.010647789814987,77.69620790808636
Yeshwanthpur,Burglary,9,13.02011318111226,77.55120412607631
KR Puram,Murder,8,13.011059482273575,77.69641289350534
Vijayanagar,Murder,2,12.969854644788843,77.55674732929295
BTM Layout,Burglary,4,12.915897823348997,77.61264066210686
Basavanagudi,Assault,9,12.946045498617899,77.57824126635637
Yeshwanthpur,Chain Snatching,2,13.02077062521268,77.5609978874187
Malleshwaram,Kidnapping,6,13.004971135469813,77.56748855146654
KR Puram,Pickpocket,3,13.008440782223543,77.69388815476097
Marathahalli,Kidnapping,4,12.956879860524776,77.69713985456737
Bellandur,Kidnapping,3,12.919628555990434,77.6879344757941
Basavanagudi,Theft,7,12.945410609261268,77.57649402265204
Frazer Town,Cyber Crime,6,12.995928194212423,77.62396203298663
BTM Layout,Chain Snatching,2,12.913985469723212,77.60995748006295
HSR Layout,Molestation,10,12.914172167792048,77.64210857974183
Jayanagar,Chain Snatching,10,12.924627910624498,77.58955987446296
Jayanagar,Theft,2,12.926077562122572,77.59854231325018
Ulsoor,Eve-Teasing,3,12.980997128755527,77.6315667548076
Basavanagudi,Eve-Teasing,5,12.941270249499098,77.57453381570134
Yeshwanthpur,Chain Snatching,8,13.015386761459588,77.55982979604113
Whitefield,Pickpocket,10,12.973165290794945,77.7499295821662
MG Road,Theft,7,12.971317344249382,77.60217963928018
Yeshwanthpur,Kidnapping,1,13.021843788624428,77.56020643252707
Bellandur,Assault,7,12.923611085058907,77.68620909392337
Indiranagar,Assault,3,12.971641965092415,77.64270734474532
Ulsoor,Burglary,4,12.980525658361865,77.6300161937771
Banashankari,Cyber Crime,7,12.910557329619735,77.57376000274738
Ulsoor,Theft,1,12.982380648860977,77.62691977229373
Whitefield,Assault,8,12.96821735607066,77.74992675340059
Malleshwaram,Kidnapping,9,13.000846299367641,77.57210844512986
Banashankari,Cyber Crime,3,12.911481922275977,77.57258965594465
Indiranagar,Cyber Crime,5,12.97390685937782,77.637711371188
Electronic City,Burglary,6,12.848078500359566,77.66438597665024
Yeshwanthpur,Murder,1,13.020502534947832,77.55426045069257
Basavanagudi,Eve-Teasing,5,12.945916094533809,77.56936816378442
KR Puram,Chain Snatching,1,13.013265807947954,77.69657548180994
Banashankari,Molestation,5,12.912584225647402,77.57145429994893
Ulsoor,Molestation,9,12.984619821187458,77.63271326046892
Ulsoor,Chain Snatching,2,12.982326795755034,77.62746954173934
Marathahalli,Theft,7,12.951821637706544,77.69948397555068
Malleshwaram,Chain Snatching,6,13.006461669836584,77.56559410179932
KR Puram,Assault,6,13.01324866162111,77.69794623550585
Rajajinagar,Murder,2,12.988355177615738,77.55314742901896
Whitefield,Theft,4,12.97007817080055,77.75028729563776
Whitefield,Eve-Teasing,3,12.969327004404784,77.74646573983763
Electronic City,Burglary,2,12.84341901575015,77.66051950432625
KR Puram,Kidnapping,2,13.00748636878773,77.69320446463902
Yeshwanthpur,Eve-Teasing,6,13.017663750725132,77.56026329630734
Bellandur,Kidnapping,10,12.929003123627584,77.68475320228525
BTM Layout,Kidnapping,3,12.915791512906361,77.60933996687986
HSR Layout,Kidnapping,10,12.912496595549511,77.64299011705866
Yeshwanthpur,Burglary,6,13.018183168936089,77.55966229221754
Electronic City,Burglary,6,12.843013533373801,77.6580069483022
Indiranagar,Assault,9,12.9711077055881,77.63868741992793
Whitefield,Eve-Teasing,6,12.967135552375934,77.75412437172265
HSR Layout,Murder,6,12.912497194631099,77.64437315590993
Banashankari,Chain Snatching,4,12.914569279776932,77.57786269580669
HSR Layout,Molestation,9,12.907042145301096,77.63902726021867
Hebbal,Assault,3,13.036285189247346,77.58700118406504
Yeshwanthpur,Assault,10,13.021222169860673,77.56009078118952
MG Road,Cyber Crime,3,12.976368732503778,77.60349689365533
Koramangala,Theft,10,12.939338184198654,77.62370320200995
Basavanagudi,Cyber Crime,9,12.944658003129122,77.57740141677453
Rajajinagar,Murder,8,12.990629972174345,77.55962741048542
MG Road,Murder,6,12.974480473315632,77.60958956386624
Vijayanagar,Chain Snatching,3,12.974619406437363,77.55487115802454
Hebbal,Eve-Teasing,8,13.039746463113326,77.59041036950818
HSR Layout,Pickpocket,1,12.907362195454667,77.63712255055951
Basavanagudi,Murder,9,12.9446985675888,77.5718011126826
Basavanagudi,Burglary,8,12.938086263525093,77.5781680584565
Ulsoor,Cyber Crime,6,12.979540026418954,77.63119767075356
Yeshwanthpur,Cyber Crime,7,13.014847941916825,77.55413005297575
Jayanagar,Molestation,9,12.92693893702406,77.59588414397234
Ulsoor,Cyber Crime,3,12.978727469148803,77.62777193325611
Vijayanagar,Kidnapping,3,12.972714199495073,77.5617170927961
Bellandur,Kidnapping,7,12.924081523863538,77.6831427390912
Yeshwanthpur,Kidnapping,2,13.014457342164595,77.55229718857423
BTM Layout,Murder,1,12.914247134780119,77.60791649079358
BTM Layout,Assault,2,12.91366876676826,77.61360986064994
BTM Layout,Molestation,7,12.913760590627625,77.60567531321371
Ulsoor,Assault,8,12.98472869144961,77.62651440174903
Basavanagudi,Cyber Crime,7,12.939930070757127,77.57777940053118
Bellandur,Eve-Teasing,4,12.926999736909025,77.68342564971114
Vijayanagar,Kidnapping,3,12.968592946360477,77.55388404544354
Whitefield,Assault,4,12.9663229212332,77.74783363122043
Frazer Town,Cyber Crime,4,13.001463082310952,77.62758434737125
Indiranagar,Murder,10,12.973035283816335,77.63764805794641
Whitefield,Kidnapping,6,12.965124098592016,77.7526222165507
Whitefield,Burglary,4,12.969122751258993,77.75215267490162
Hebbal,Molestation,7,13.034138618446015,77.5882332972216
Hebbal,Murder,8,13.039042436944564,77.5931920078672
Malleshwaram,Kidnapping,7,12.999671889525128,77.57299719606128
Hebbal,Theft,4,13.03167702619584,77.59590487796707
Rajajinagar,Theft,9,12.992163071143567,77.55259093132987
Whitefield,Kidnapping,6,12.972963421349315,77.75256985313636
Indiranagar,Assault,10,12.974232482532782,77.63766458975489
Basavanagudi,Chain Snatching,9,12.942377317229111,77.56968718793968
HSR Layout,Pickpocket,2,12.907484322558293,77.64290683465292
HSR Layout,Pickpocket,2,12.910433923868386,77.6377818333936
Jayanagar,Chain Snatching,4,12.922123467921399,77.59364888225389
Koramangala,Murder,4,12.935064296667736,77.621465278072
Indiranagar,Assault,3,12.975410293730176,77.64287323445606
Indiranagar,Murder,8,12.97619343971141,77.63898111985866
Banashankari,Kidnapping,2,12.917208002121923,77.57352894987584
HSR Layout,Burglary,5,12.9078756360868,77.63953695297718
Bellandur,Assault,9,12.925230499233665,77.68790175005705
Basavanagudi,Chain Snatching,7,12.941029376188895,77.57533472123566
Hebbal,Murder,7,13.036339862114756,77.59525059786102
Marathahalli,Kidnapping,8,12.953537230017364,77.70362294343802
Marathahalli,Assault,9,12.952307486332346,77.69886799734923
Bellandur,Theft,7,12.920847392334837,77.68623084772288
Electronic City,Burglary,4,12.84136056185205,77.65731540311887
Ulsoor,Chain Snatching,1,12.987315412043083,77.62683019170764
Yeshwanthpur,Burglary,3,13.02023613530064,77.5558610983703
Banashankari,Chain Snatching,1,12.913758734158616,77.56964911808453
Yeshwanthpur,Assault,10,13.015897541169945,77.5545653454116
Banashankari,Theft,10,12.913644727967808,77.57013237940187
Hebbal,Burglary,10,13.032486498097068,77.588902472567
Ulsoor,Theft,3,12.984441041451745,77.62321158672927
Frazer Town,Molestation,4,13.001287458360817,77.6222884869658
Electronic City,Burglary,4,12.84670739040513,77.66237639718443
Hebbal,Eve-Teasing,8,13.036731904069539,77.58985627668933
Ulsoor,Chain Snatching,8,12.98683614683289,77.63277100035255
Indiranagar,Molestation,3,12.971756526387415,77.63660798409863
BTM Layout,Assault,8,12.917471077431143,77.61424676406322
Hebbal,Kidnapping,6,13.040408145054544,77.59541000854874
Basavanagudi,Pickpocket,9,12.938706782117153,77.57211443879298
Jayanagar,Cyber Crime,8,12.92710030800263,77.59475275727655
Hebbal,Eve-Teasing,4,13.040646186823974,77.58744025665501
Hebbal,Eve-Teasing,9,13.03822519347134,77.58635442653427
Bellandur,Molestation,10,12.927432497553944,77.68532309894036
BTM Layout,Kidnapping,6,12.920418577974377,77.61053444099446
Hebbal,Assault,4,13.037934859001387,77.59170812671866
Whitefield,Cyber Crime,4,12.965359853884275,77.75437744624057
Electronic City,Assault,1,12.844649813082123,77.65839897805101
Vijayanagar,Chain Snatching,8,12.9673203764062,77.55401216784747
MG Road,Pickpocket,2,12.974218102205151,77.60487366489343
Electronic City,Chain Snatching,3,12.841844373505854,77.65907730966981
Malleshwaram,Chain Snatching,9,13.000578480111207,77.56712717472942
Koramangala,Chain Snatching,8,12.940051618376339,77.62275911970981
Indiranagar,Chain Snatching,4,12.967612028471885,77.63729489461726
Marathahalli,Kidnapping,2,12.960370679071058,77.70119162474451
Basavanagudi,Murder,4,12.938692456364995,77.57263514970948
Yeshwanthpur,Molestation,9,13.021779711419718,77.55945230058076
Ulsoor,Burglary,8,12.979357629273945,77.6254713838235
Vijayanagar,Molestation,1,12.967961039998594,77.55198979767233
Electronic City,Theft,1,12.84050415374147,77.6570960097274
Jayanagar,Cyber Crime,6,12.920047976516315,77.59032705438271
Whitefield,Molestation,6,12.972532820397134,77.7532951225609
KR Puram,Theft,1,13.010007755813376,77.69819402843711
Banashankari,Molestation,4,12.916008555673098,77.5711320728357
Frazer Town,Eve-Teasing,2,12.997670966308709,77.62373847834205
Malleshwaram,Molestation,1,13.002482360072543,77.5655814899282
Whitefield,Cyber Crime,3,12.97143207650348,77.7502020003015
Banashankari,Pickpocket,9,12.910681335777095,77.57388223603648
Vijayanagar,Cyber Crime,7,12.969118191006789,77.55906496481602
Electronic City,Assault,5,12.845432257572236,77.66432319157805
Rajajinagar,Cyber Crime,4,12.99056605305029,77.55833356582923
Electronic City,Eve-Teasing,4,12.842479695902297,77.6624188105127
HSR Layout,Kidnapping,3,12.915841007082872,77.63826975741517
Electronic City,Chain Snatching,10,12.841265914130748,77.66262870345027
HSR Layout,Cyber Crime,3,12.906909613355161,77.64570196666067
Marathahalli,Cyber Crime,9,12.952330833193844,77.69857820488514
Indiranagar,Kidnapping,9,12.967392826501591,77.64583993989156
Banashankari,Theft,5,12.915528647191913,77.57397631451961
Rajajinagar,Theft,2,12.987967370745386,77.55152533123383
Frazer Town,Cyber Crime,2,12.99551924623569,77.62094015459641
Ulsoor,Pickpocket,2,12.983369569087941,77.62539412837239
Vijayanagar,Eve-Teasing,4,12.970294001798102,77.55442793253937
Hebbal,Kidnapping,8,13.031508235422734,77.58957083222155
Ulsoor,Kidnapping,10,12.982728947557375,77.62563409858427
Indiranagar,Theft,6,12.976294651141345,77.64308157106122
Koramangala,Burglary,3,12.935288556235394,77.61961468427913
Koramangala,Cyber Crime,9,12.938242653909958,77.62130025673812
Basavanagudi,Chain Snatching,8,12.943426396653443,77.57218931183641
Ulsoor,Eve-Teasing,6,12.984802378297363,77.623555562647
Bellandur,Assault,9,12.921368013136522,77.67971438197756
Banashankari,Assault,8,12.909073940876144,77.56880251093169
Yeshwanthpur,Molestation,1,13.013720371928994,77.560238394981
Whitefield,Chain Snatching,5,12.96578696067902,77.74983125576189
Rajajinagar,Burglary,2,12.98761791473882,77.55532282103685
Yeshwanthpur,Burglary,7,13.01939492032407,77.55684422732409
Banashankari,Molestation,3,12.913952978815022,77.57199727562578
MG Road,Burglary,2,12.97866699037674,77.60249178897121
Jayanagar,Kidnapping,7,12.928294094623576,77.59853274179672
MG Road,Chain Snatching,4,12.9703459025681,77.6050266765793
Vijayanagar,Cyber Crime,2,12.968156696114738,77.5518823356547
Koramangala,Burglary,1,12.93792178080836,77.62238573287577
Banashankari,Molestation,1,12.91255041060695,77.5779404808511
Ulsoor,Chain Snatching,4,12.984848348867951,77.63100738804766
Frazer Town,Theft,5,12.997704140461225,77.62343878569291
Malleshwaram,Pickpocket,10,13.002132513406023,77.57010143369197
Electronic City,Eve-Teasing,9,12.849826880802373,77.66207627190431
MG Road,Chain Snatching,6,12.974074932224568,77.60068111327723
Koramangala,Kidnapping,5,12.936503898486144,77.62624179889477
Yeshwanthpur,Molestation,8,13.013475388415017,77.56047862970772
KR Puram,Theft,7,13.011721245478256,77.69313174448246
Hebbal,Theft,10,13.037419040756719,77.59076361452084
Yeshwanthpur,Molestation,5,13.015026784428912,77.56066833529023
HSR Layout,Murder,1,12.912827047495616,77.63733892069162
Hebbal,Chain Snatching,5,13.034490726144856,77.59122328546282
Jayanagar,Assault,4,12.924155551863919,77.59600515374231
MG Road,Assault,10,12.972795297413215,77.60627065029477
HSR Layout,Pickpocket,3,12.907844764330719,77.64542975680018
Basavanagudi,Burglary,3,12.93991084752024,77.57470686655472
Indiranagar,Assault,8,12.96770993280881,77.64417896117271
Koramangala,Cyber Crime,3,12.93129659397591,77.62546971585573
Bellandur,Pickpocket,2,12.922996536664838,77.68434823492031
Vijayanagar,Assault,3,12.971076315228633,77.55972470112766
Marathahalli,Cyber Crime,5,12.953069345510011,77.69851199122513
Jayanagar,Assault,4,12.921822842713413,77.58938130359937
Marathahalli,Assault,6,12.954737432082078,77.70449103306464
Banashankari,Chain Snatching,9,12.910033493177826,77.57155626947181
BTM Layout,Pickpocket,4,12.918526458997405,77.6134967293022
BTM Layout,Kidnapping,5,12.915631872381153,77.60948424080522
Banashankari,Molestation,5,12.910484060752985,77.5771252516234
MG Road,Cyber Crime,3,12.972666715635153,77.60927494195442
Marathahalli,Burglary,2,12.95477324456656,77.70087126959791
Banashankari,Cyber Crime,7,12.909568252794775,77.57013222162986
Electronic City,Molestation,4,12.843388318079949,77.66156658845695
Vijayanagar,Pickpocket,10,12.969316252307713,77.56002184087944
Rajajinagar,Theft,4,12.994877840989222,77.55225208124358
KR Puram,Cyber Crime,10,13.012025597092473,77.69022665107254
HSR Layout,Chain Snatching,9,12.913069418535843,77.63764292935662
HSR Layout,Theft,9,12.906755556116051,77.63882880669696
Malleshwaram,Chain Snatching,10,13.007697589938138,77.57228765250629
Marathahalli,Burglary,7,12.954432924164928,77.70536178943172
Whitefield,Eve-Teasing,6,12.969659761056251,77.7541272088083
Marathahalli,Pickpocket,4,12.954500128725977,77.70577183967546
Bellandur,Cyber Crime,4,12.91997480978707,77.6795084047987
Electronic City,Pickpocket,5,12.843404813969194,77.65956463621826
Basavanagudi,Pickpocket,6,12.945866616109573,77.57361147044409
HSR Layout,Burglary,8,12.91393005225016,77.64492263658286
Banashankari,Assault,6,12.916522321500821,77.57561213071327
Indiranagar,Murder,1,12.973756709420748,77.64506342603224
Electronic City,Molestation,2,12.843528451001427,77.66031950526856
Malleshwaram,Eve-Teasing,5,13.00657869101546,77.56693661171096
Koramangala,Murder,4,12.930220431347884,77.62299878863666
Koramangala,Theft,7,12.931989972984404,77.62365190503742
Rajajinagar,Burglary,2,12.986372252172904,77.55645222128484
Marathahalli,Chain Snatching,1,12.951294012473097,77.69795001543484
Indiranagar,Assault,8,12.967050644472781,77.63761173638123
Bellandur,Assault,7,12.92932219466019,77.68160245329895
MG Road,Pickpocket,9,12.97930050493414,77.60890323960446
KR Puram,Cyber Crime,5,13.012509282810552,77.69234550689403
BTM Layout,Chain Snatching,6,12.917651235989775,77.60810553494493
Koramangala,Kidnapping,9,12.94014123310891,77.62918448904473
Electronic City,Kidnapping,4,12.848510102156558,77.65502805912962
Banashankari,Cyber Crime,1,12.910499631308204,77.57193690540157
Indiranagar,Molestation,3,12.96681845386711,77.63811315784908
Whitefield,Theft,9,12.969490670411531,77.7528035864145
Bellandur,Molestation,3,12.929338188937459,77.68371328488578
Frazer Town,Assault,2,12.997895514001412,77.62306191221927
Vijayanagar,Assault,7,12.96922558349765,77.55333992420724
Ulsoor,Assault,3,12.98009095027121,77.6265520997586
Marathahalli,Molestation,8,12.953912637120073,77.69828971045467
Hebbal,Burglary,9,13.03735357935614,77.58626936733768
Marathahalli,Kidnapping,8,12.960485546619493,77.69769326319133
Yeshwanthpur,Chain Snatching,3,13.016444200888458,77.55914894646854
Rajajinagar,Burglary,5,12.995482085059198,77.55702962381902
BTM Layout,Kidnapping,9,12.919529625570494,77.60577947497077
Indiranagar,Pickpocket,10,12.971648966421865,77.63706138013173
Hebbal,Theft,2,13.037302000131085,77.58839634362378
KR Puram,Burglary,9,13.012608621252246,77.6929452022002
HSR Layout,Kidnapping,10,12.911538569613477,77.63919065187892
Hebbal,Cyber Crime,9,13.039448133164017,77.5947357798331
Malleshwaram,Molestation,7,12.998476377629492,77.56688154998659
Banashankari,Assault,10,12.915114322226348,77.56980418080212
KR Puram,Eve-Teasing,7,13.00857675063269,77.69311090292013
Yeshwanthpur,Pickpocket,9,13.013387550583577,77.55730561793645
Electronic City,Molestation,8,12.840260216628412,77.65905274389964
KR Puram,Eve-Teasing,4,13.006883422764476,77.70008446055836
Bellandur,Assault,6,12.920141247457936,77.6794390054209
Basavanagudi,Cyber Crime,10,12.94330930138682,77.56957713241249
Ulsoor,Pickpocket,9,12.983588761910704,77.62703784592667
Hebbal,Pickpocket,2,13.035881829372267,77.58689787506134
Frazer Town,Murder,3,13.0009893708221,77.62842720164282
Malleshwaram,Pickpocket,2,13.007654431197368,77.57124938179604
Yeshwanthpur,Chain Snatching,8,13.020215719628657,77.55392281857748
Yeshwanthpur,Theft,6,13.016525835461179,77.5552920015453
Electronic City,Assault,10,12.842566761151756,77.65945746819611
